target,method,seen,unseen,H-mean
angry,base,85.88,31.9,37.6
angry,CCVAE,81.69,27.11,31.47
angry,TUPL,98.71,49.81,61.74
angry,our_GRE,77.88,38.47,41.34
angry,our_TUPL_interp_src2tgt,97.45,52.35,63.38
childlike,base,80.61,27.88,32.44
childlike,CCVAE,76.03,23.73,26.6
childlike,TUPL,93.36,51.46,62.92
childlike,our_GRE,71.11,37.31,37.86
childlike,our_TUPL_interp_src2tgt,88.64,48.53,59.04
depressed,base,84.9,16.62,21.66
depressed,CCVAE,79.83,14.21,18.05
depressed,TUPL,93.21,37.85,50.14
depressed,our_GRE,76.6,31.82,35.25
depressed,our_TUPL_interp_src2tgt,90.7,38.42,50.2
neutral,base,86.38,34.05,39.65
neutral,CCVAE,83.3,30.27,35.11
neutral,TUPL,97.0,51.43,63.3
neutral,our_GRE,79.3,40.17,42.76
neutral,our_TUPL_interp_src2tgt,91.62,50.22,60.46
old,base,85.98,16.92,22.19
old,CCVAE,83.71,12.81,17.46
old,TUPL,91.2,42.29,54.14
old,our_GRE,79.92,33.02,36.78
old,our_TUPL_interp_src2tgt,89.08,36.28,48.29
proud,base,89.14,32.63,40.3
proud,CCVAE,86.18,26.34,32.58
proud,TUPL,97.23,58.1,69.67
proud,our_GRE,84.27,42.28,47.18
proud,our_TUPL_interp_src2tgt,95.89,52.65,64.66
strutting,base,83.52,26.21,32.22
strutting,CCVAE,80.19,22.8,28.62
strutting,TUPL,95.4,43.81,55.14
strutting,our_GRE,77.71,34.49,38.25
strutting,our_TUPL_interp_src2tgt,94.05,49.33,60.27
